example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
168,0.167000E-06,0.492618E-06,0.155540E-06,0.511460E-06,0.181538E-06,0.162922E-06,0.156731E-06,0.619130E-08,
169,0.168000E-06,0.490962E-06,0.154777E-06,0.513223E-06,0.181408E-06,0.163815E-06,0.157545E-06,0.626986E-08,
170,0.169000E-06,0.489317E-06,0.154020E-06,0.514980E-06,0.181276E-06,0.164703E-06,0.158355E-06,0.634883E-08,
171,0.170000E-06,0.487681E-06,0.153270E-06,0.516730E-06,0.181141E-06,0.165589E-06,0.159160E-06,0.642820E-08,
172,0.171000E-06,0.486056E-06,0.152526E-06,0.518474E-06,0.181004E-06,0.166470E-06,0.159962E-06,0.650798E-08,
173,0.172000E-06,0.484439E-06,0.151787E-06,0.520213E-06,0.180865E-06,0.167348E-06,0.160760E-06,0.658815E-08,
174,0.173000E-06,0.482833E-06,0.151055E-06,0.521945E-06,0.180722E-06,0.168222E-06,0.161554E-06,0.666872E-08,
175,0.174000E-06,0.481236E-06,0.150329E-06,0.523671E-06,0.180578E-06,0.169093E-06,0.162343E-06,0.674969E-08,
176,0.175000E-06,0.479648E-06,0.149608E-06,0.525392E-06,0.180431E-06,0.169960E-06,0.163129E-06,0.683105E-08,
177,0.176000E-06,0.478070E-06,0.148894E-06,0.527106E-06,0.180283E-06,0.170824E-06,0.163911E-06,0.691280E-08,
178,0.177000E-06,0.476501E-06,0.148185E-06,0.528815E-06,0.180131E-06,0.171684E-06,0.164689E-06,0.699494E-08,
179,0.178000E-06,0.474941E-06,0.147482E-06,0.530518E-06,0.179978E-06,0.172540E-06,0.165463E-06,0.707747E-08,
180,0.179000E-06,0.473391E-06,0.146784E-06,0.532216E-06,0.179823E-06,0.173393E-06,0.166233E-06,0.716039E-08,
181,0.180000E-06,0.471849E-06,0.146092E-06,0.533908E-06,0.179665E-06,0.174243E-06,0.166999E-06,0.724369E-08,
182,0.181000E-06,0.470317E-06,0.145405E-06,0.535595E-06,0.179506E-06,0.175089E-06,0.167762E-06,0.732737E-08,
183,0.182000E-06,0.468793E-06,0.144724E-06,0.537276E-06,0.179344E-06,0.175931E-06,0.168520E-06,0.741143E-08,
184,0.183000E-06,0.467278E-06,0.144049E-06,0.538951E-06,0.179181E-06,0.176770E-06,0.169275E-06,0.749587E-08,
185,0.184000E-06,0.465772E-06,0.143378E-06,0.540622E-06,0.179016E-06,0.177606E-06,0.170025E-06,0.758069E-08,
186,0.185000E-06,0.464275E-06,0.142713E-06,0.542287E-06,0.178849E-06,0.178438E-06,0.170772E-06,0.766588E-08,
187,0.186000E-06,0.462787E-06,0.142053E-06,0.543947E-06,0.178680E-06,0.179267E-06,0.171515E-06,0.775144E-08,
188,0.187000E-06,0.461307E-06,0.141399E-06,0.545601E-06,0.178509E-06,0.180092E-06,0.172255E-06,0.783737E-08,
189,0.188000E-06,0.459835E-06,0.140749E-06,0.547251E-06,0.178337E-06,0.180914E-06,0.172990E-06,0.792367E-08,
190,0.189000E-06,0.458372E-06,0.140104E-06,0.548896E-06,0.178163E-06,0.181732E-06,0.173722E-06,0.801034E-08,
191,0.190000E-06,0.456917E-06,0.139465E-06,0.550535E-06,0.177988E-06,0.182547E-06,0.174450E-06,0.809738E-08,
192,0.191000E-06,0.455471E-06,0.138830E-06,0.552170E-06,0.177811E-06,0.183359E-06,0.175174E-06,0.818477E-08,
193,0.192000E-06,0.454033E-06,0.138200E-06,0.553800E-06,0.177633E-06,0.184167E-06,0.175895E-06,0.827253E-08,
194,0.193000E-06,0.452603E-06,0.137575E-06,0.555425E-06,0.177453E-06,0.184972E-06,0.176611E-06,0.836065E-08,
195,0.194000E-06,0.451181E-06,0.136955E-06,0.557045E-06,0.177272E-06,0.185773E-06,0.177324E-06,0.844912E-08,
196,0.195000E-06,0.449768E-06,0.136339E-06,0.558661E-06,0.177089E-06,0.186572E-06,0.178034E-06,0.853795E-08,
197,0.196000E-06,0.448362E-06,0.135728E-06,0.560272E-06,0.176905E-06,0.187367E-06,0.178740E-06,0.862713E-08,
198,0.197000E-06,0.446964E-06,0.135122E-06,0.561878E-06,0.176719E-06,0.188158E-06,0.179442E-06,0.871667E-08,
199,0.198000E-06,0.445574E-06,0.134521E-06,0.563479E-06,0.176532E-06,0.188947E-06,0.180140E-06,0.880655E-08,
200,0.199000E-06,0.444192E-06,0.133924E-06,0.565076E-06,0.176344E-06,0.189732E-06,0.180835E-06,0.889678E-08,
201,0.200000E-06,0.442817E-06,0.133331E-06,0.566669E-06,0.176155E-06,0.190514E-06,0.181526E-06,0.898736E-08,
202,0.201000E-06,0.441451E-06,0.132743E-06,0.568257E-06,0.175964E-06,0.191292E-06,0.182214E-06,0.907828E-08,
